what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1416975834544
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1416975834544
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1416975834545
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1416975834546
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1416975834549
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1416975834550
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1416975834551
os,sysinfo,,,"macosx",1416975834555
arch,sysinfo,,,"x86_64",1416975834555
ws,sysinfo,,,"cocoa",1416975834555
locale,sysinfo,,,"en_US",1416975834555
processors,sysinfo,,,"4",1416975834555
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1416975834555
java.runtime.version,sysinfo,,,"1.6.0_65-b14-466.1-11M4716",1416975834555
java.specification.name,sysinfo,,,"Java Platform API Specification",1416975834555
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1416975834555
java.specification.version,sysinfo,,,"1.6",1416975834555
java.vendor,sysinfo,,,"Apple Inc.",1416975834555
java.version,sysinfo,,,"1.6.0_65",1416975834555
java.vm.info,sysinfo,,,"mixed mode",1416975834555
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1416975834555
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1416975834555
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1416975834555
java.vm.specification.version,sysinfo,,,"1.0",1416975834555
java.vm.vendor,sysinfo,,,"Apple Inc.",1416975834555
java.vm.version,sysinfo,,,"20.65-b04-466.1",1416975834555
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1416975836704
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1416975837065
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1416975837068
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1416975837160
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20101001-2300,"org.eclipse.php.server.ui",1416975837161
stopped,bundle,org.eclipse.php.debug.ui,2.2.0.v20101001-2300,"org.eclipse.php.debug.ui",1416975837161
stopped,bundle,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui",1416975837161
stopped,bundle,org.eclipse.dltk.formatter,2.0.0.v20100304-1959,"org.eclipse.dltk.formatter",1416975837162
stopped,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1416975837163
stopped,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1416975837163
stopped,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1416975837164
